employee_id,supervisor_id,name,title,department,job_level,team,season,snapshot_date,mlb_id,role,games,gs,pa
WSN-MGR-dave-martinez,,Dave Martinez,Manager,Coaching Staff,1,WSN,2024,2024-07-01,,,,,
WSN-L2-BENCH-miguel-cairo,WSN-MGR-dave-martinez,Miguel Cairo,Bench Coach,Coaching Staff,2,WSN,2024,2024-07-01,,,,,
WSN-L2-PITCHING-jim-hickey,WSN-MGR-dave-martinez,Jim Hickey,Pitching Coach,Coaching Staff,2,WSN,2024,2024-07-01,,,,,
WSN-L2-HITTING-rick-schu,WSN-MGR-dave-martinez,Rick Schu,Hitting Coach,Coaching Staff,2,WSN,2024,2024-07-01,,,,,
WSN-L3-BULLPEN,WSN-L2-PITCHING-jim-hickey,Bullpen Coach,Bullpen Coach,Coaching Staff,3,WSN,2024,2024-07-01,,,,,
WSN-L3-STARTERS,WSN-L2-PITCHING-jim-hickey,Starting Pitchers Coach,Starting Pitchers Coach,Coaching Staff,3,WSN,2024,2024-07-01,,,,,
WSN-L3-INFIELD,WSN-L2-HITTING-rick-schu,Infield Coach,Infield Coach,Coaching Staff,3,WSN,2024,2024-07-01,,,,,
WSN-L3-OUTFIELD,WSN-L2-HITTING-rick-schu,Outfield Coach,Outfield Coach,Coaching Staff,3,WSN,2024,2024-07-01,,,,,
WSN-L3-1B,WSN-L2-BENCH-miguel-cairo,First Base Coach,First Base Coach,Coaching Staff,3,WSN,2024,2024-07-01,,,,,
WSN-L3-3B,WSN-L2-BENCH-miguel-cairo,Third Base Coach,Third Base Coach,Coaching Staff,3,WSN,2024,2024-07-01,,,,,
MLB-672851,WSN-L3-BULLPEN,Joan Adon,Pitcher,Player,4,WSN,2024,2024-07-01,672851.0,P,8.0,1.0,
MLB-606930,WSN-L3-BULLPEN,Jacob Barnes,Pitcher,Player,4,WSN,2024,2024-07-01,606930.0,P,63.0,0.0,
MLB-598264,WSN-L3-BULLPEN,Matt Barnes,Pitcher,Player,4,WSN,2024,2024-07-01,598264.0,P,14.0,0.0,
MLB-694350,WSN-L3-BULLPEN,Zach Brzykcy,Pitcher,Player,4,WSN,2024,2024-07-01,694350.0,P,6.0,0.0,
MLB-571578,WSN-L3-STARTERS,Patrick Corbin,Pitcher,Player,4,WSN,2024,2024-07-01,571578.0,P,32.0,32.0,
MLB-678606,WSN-L3-BULLPEN,Jose A. Ferrer,Pitcher,Player,4,WSN,2024,2024-07-01,678606.0,P,31.0,0.0,
MLB-640448,WSN-L3-BULLPEN,Kyle Finnegan,Pitcher,Player,4,WSN,2024,2024-07-01,640448.0,P,65.0,0.0,
MLB-571670,WSN-L3-BULLPEN,Dylan Floro,Pitcher,Player,4,WSN,2024,2024-07-01,571670.0,P,66.0,0.0,
MLB-676395,WSN-L3-BULLPEN,Robert Garcia,Pitcher,Player,4,WSN,2024,2024-07-01,676395.0,P,72.0,0.0,
MLB-669022,WSN-L3-STARTERS,MacKenzie Gore,Pitcher,Player,4,WSN,2024,2024-07-01,669022.0,P,32.0,32.0,
MLB-680686,WSN-L3-STARTERS,Josiah Gray,Pitcher,Player,4,WSN,2024,2024-07-01,680686.0,P,2.0,2.0,
MLB-687792,WSN-L3-STARTERS,DJ Herz,Pitcher,Player,4,WSN,2024,2024-07-01,687792.0,P,19.0,19.0,
