employee_id,supervisor_id,name,title,department,job_level,team,season,snapshot_date,mlb_id,role,games,gs,pa
MIA-MGR-skip-schumaker,,Skip Schumaker,Manager,Coaching Staff,1,MIA,2023,2023-07-01,,,,,
MIA-L2-BENCH-luis-ugueto,MIA-MGR-skip-schumaker,Luis Ugueto,Bench Coach,Coaching Staff,2,MIA,2023,2023-07-01,,,,,
MIA-L2-PITCHING-mel-stottlemyre-jr,MIA-MGR-skip-schumaker,Mel Stottlemyre Jr.,Pitching Coach,Coaching Staff,2,MIA,2023,2023-07-01,,,,,
MIA-L2-HITTING-marcus-thames,MIA-MGR-skip-schumaker,Marcus Thames,Hitting Coach,Coaching Staff,2,MIA,2023,2023-07-01,,,,,
MIA-L3-BULLPEN,MIA-L2-PITCHING-mel-stottlemyre-jr,Bullpen Coach,Bullpen Coach,Coaching Staff,3,MIA,2023,2023-07-01,,,,,
MIA-L3-STARTERS,MIA-L2-PITCHING-mel-stottlemyre-jr,Starting Pitchers Coach,Starting Pitchers Coach,Coaching Staff,3,MIA,2023,2023-07-01,,,,,
MIA-L3-INFIELD,MIA-L2-HITTING-marcus-thames,Infield Coach,Infield Coach,Coaching Staff,3,MIA,2023,2023-07-01,,,,,
MIA-L3-OUTFIELD,MIA-L2-HITTING-marcus-thames,Outfield Coach,Outfield Coach,Coaching Staff,3,MIA,2023,2023-07-01,,,,,
MIA-L3-1B,MIA-L2-BENCH-luis-ugueto,First Base Coach,First Base Coach,Coaching Staff,3,MIA,2023,2023-07-01,,,,,
MIA-L3-3B,MIA-L2-BENCH-luis-ugueto,Third Base Coach,Third Base Coach,Coaching Staff,3,MIA,2023,2023-07-01,,,,,
MLB-645261,MIA-L3-STARTERS,Sandy Alcantara,Pitcher,Player,4,MIA,2023,2023-07-01,645261.0,P,28.0,28.0,
MLB-598264,MIA-L3-BULLPEN,Matt Barnes,Pitcher,Player,4,MIA,2023,2023-07-01,598264.0,P,24.0,1.0,
MLB-605151,MIA-L3-BULLPEN,Archie Bradley,Pitcher,Player,4,MIA,2023,2023-07-01,605151.0,P,4.0,0.0,
MLB-623211,MIA-L3-BULLPEN,Huascar Brazob\xc3\xa1n,Pitcher,Player,4,MIA,2023,2023-07-01,623211.0,P,50.0,0.0,
MLB-665795,MIA-L3-STARTERS,Edward Cabrera,Pitcher,Player,4,MIA,2023,2023-07-01,665795.0,P,22.0,20.0,
MLB-641447,MIA-L3-BULLPEN,Daniel Castano,Pitcher,Player,4,MIA,2023,2023-07-01,641447.0,P,2.0,0.0,
MLB-608638,MIA-L3-BULLPEN,JT Chargois,Pitcher,Player,4,MIA,2023,2023-07-01,608638.0,P,46.0,5.0,
MLB-456501,MIA-L3-STARTERS,Johnny Cueto,Pitcher,Player,4,MIA,2023,2023-07-01,456501.0,P,13.0,10.0,
MLB-646241,MIA-L3-BULLPEN,Enmanuel De Jesus,Pitcher,Player,4,MIA,2023,2023-07-01,646241.0,P,2.0,0.0,
MLB-676395,MIA-L3-BULLPEN,Robert Garcia,Pitcher,Player,4,MIA,2023,2023-07-01,676395.0,P,25.0,0.0,
MLB-666129,MIA-L3-STARTERS,Braxton Garrett,Pitcher,Player,4,MIA,2023,2023-07-01,666129.0,P,31.0,30.0,
MLB-592346,MIA-L3-BULLPEN,Chi Chi Gonz\xc3\xa1lez,Pitcher,Player,4,MIA,2023,2023-07-01,592346.0,P,3.0,0.0,
MLB-664129,MIA-L3-BULLPEN,Geoff Hartlieb,Pitcher,Player,4,MIA,2023,2023-07-01,664129.0,P,2.0,0.0,
MLB-663773,MIA-L3-BULLPEN,Bryan Hoeing,Pitcher,Player,4,MIA,2023,2023-07-01,663773.0,P,33.0,7.0,
MLB-689167,MIA-L3-BULLPEN,Jeff Lindgren,Pitcher,Player,4,MIA,2023,2023-07-01,689167.0,P,3.0,0.0,
MLB-666200,MIA-L3-STARTERS,Jes\xc3\xbas Luzardo,Pitcher,Player,4,MIA,2023,2023-07-01,666200.0,P,32.0,32.0,
MLB-677053,MIA-L3-BULLPEN,Andrew Nardi,Pitcher,Player,4,MIA,2023,2023-07-01,677053.0,P,63.0,0.0,
